C:\Anaconda\envs\tensorflow\python.exe G:/Projekte/GitHub/TensorFlow/TensorFlow/traicy/cnn/DEBUG.py
Tue Apr 24 18:22:03 2018    restats

         3429110 function calls (3287607 primitive calls) in 5.206 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
     2779    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
     1643    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
     1643    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1643    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
     2779    0.006    0.000    0.012    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1639    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(cb)
     1136    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  2144/10    0.001    0.000    2.276    0.228 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    11129    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:269(_module_repr)
     1409    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
     1409    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1409    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:318(__exit__)
     5636    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     1279    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1637    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     2664    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:403(cached)
     2368    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
     1409    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
     1409    0.006    0.000    0.028    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
1409/1273    0.002    0.000    0.621    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
